               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079009,            0.016336,            0.018678,          0.00040399,            0.017816,          0.00015423,          4.1185e-05,             0.12311,            0.017639,            0.064095,            0.070126,           0.0033194,           0.0033194
                   1,            0.065826,            0.013853,             0.01274,             0.27752,             0.34125,             0.26413,            0.082956,            0.070639,            0.016064,            0.012496,            0.039992,           0.0065197,           0.0065197
                   2,            0.062311,            0.012841,           0.0099522,             0.36577,               0.507,             0.34502,             0.11942,            0.062119,           0.0073115,           0.0099085,           0.0097261,           0.0095866,           0.0095866
                   3,            0.058033,            0.011952,           0.0079276,             0.36997,             0.52324,             0.41514,             0.14075,            0.066747,            0.009988,            0.013626,              0.0094,              0.0094,              0.0094
                   4,            0.054467,             0.01119,           0.0066956,             0.58575,             0.69206,             0.67239,             0.27316,            0.051482,           0.0073025,           0.0029132,              0.0094,              0.0094,              0.0094
                   5,            0.051739,            0.010958,           0.0050296,             0.69925,             0.76319,             0.81669,             0.36639,            0.046157,           0.0055737,           0.0013231,              0.0092,              0.0092,              0.0092
                   6,            0.049459,            0.010622,           0.0045058,             0.78339,             0.69002,             0.77148,             0.35079,            0.046444,           0.0079175,           0.0030338,               0.009,               0.009,               0.009
                   7,            0.048182,            0.010263,           0.0038661,             0.80236,             0.71806,             0.83089,             0.40939,            0.042179,            0.005289,           0.0013207,              0.0088,              0.0088,              0.0088
                   8,            0.047362,            0.010177,           0.0038746,             0.79201,             0.83092,             0.86046,             0.42656,            0.041662,           0.0053662,            0.001851,              0.0086,              0.0086,              0.0086
                   9,            0.045632,             0.01008,           0.0035802,             0.70391,             0.82883,             0.81888,             0.37463,            0.044215,           0.0055293,           0.0015121,              0.0084,              0.0084,              0.0084
                  10,            0.044274,           0.0096397,           0.0028103,             0.85623,             0.68198,             0.79263,             0.38098,            0.046629,           0.0056472,           0.0031399,              0.0082,              0.0082,              0.0082
                  11,            0.043719,           0.0097689,           0.0028678,             0.86026,             0.82844,             0.91278,             0.47816,            0.038535,            0.004766,           0.0011215,               0.008,               0.008,               0.008
                  12,            0.041785,           0.0092134,           0.0021617,             0.90943,             0.89187,             0.93411,             0.48595,            0.036943,           0.0048295,          0.00059152,              0.0078,              0.0078,              0.0078
                  13,            0.041232,           0.0090219,           0.0021626,             0.91126,              0.8565,             0.92963,             0.48431,             0.03777,           0.0047807,           0.0015836,              0.0076,              0.0076,              0.0076
                  14,            0.040986,           0.0091456,           0.0021893,             0.91612,             0.92741,              0.9399,             0.50175,            0.034515,           0.0045931,          0.00060215,              0.0074,              0.0074,              0.0074
                  15,            0.040031,           0.0092321,           0.0018686,             0.82286,             0.66118,             0.75831,             0.36034,            0.045203,           0.0064555,           0.0032232,              0.0072,              0.0072,              0.0072
                  16,            0.040644,           0.0094951,           0.0021929,             0.94015,              0.9116,             0.96548,             0.52695,            0.033814,           0.0044616,          0.00027786,               0.007,               0.007,               0.007
                  17,             0.04036,           0.0089828,           0.0022037,             0.92963,             0.89168,             0.95011,             0.54308,            0.034043,            0.004595,          0.00025984,              0.0068,              0.0068,              0.0068
                  18,            0.038489,           0.0087643,           0.0015304,             0.94518,             0.90477,             0.95794,             0.55533,            0.033695,           0.0042985,           0.0004489,              0.0066,              0.0066,              0.0066
                  19,            0.037002,           0.0084248,           0.0017558,             0.95915,             0.94741,             0.97141,             0.58111,            0.030634,           0.0040917,          0.00038274,              0.0064,              0.0064,              0.0064
                  20,            0.036794,           0.0083646,           0.0017331,             0.96168,             0.92548,              0.9768,               0.563,             0.03036,           0.0040709,          0.00042688,              0.0062,              0.0062,              0.0062
                  21,            0.035637,           0.0081943,           0.0014746,             0.96876,             0.96586,             0.98241,              0.5953,             0.02979,           0.0040817,          0.00023696,               0.006,               0.006,               0.006
                  22,            0.035832,           0.0081183,           0.0013975,             0.96233,             0.93112,             0.95947,                0.58,            0.030276,            0.004048,          0.00023944,              0.0058,              0.0058,              0.0058
                  23,            0.034259,            0.008097,           0.0012881,             0.95267,             0.91607,             0.97027,             0.60837,            0.029378,           0.0039075,          0.00047401,              0.0056,              0.0056,              0.0056
                  24,             0.03477,           0.0082099,           0.0013332,             0.92667,             0.86741,             0.93277,             0.56263,            0.031825,           0.0040886,            0.003128,              0.0054,              0.0054,              0.0054
                  25,            0.034531,           0.0080635,           0.0013226,             0.96149,             0.96946,             0.98611,             0.62335,            0.027823,           0.0036826,          8.3779e-05,              0.0052,              0.0052,              0.0052
                  26,            0.032719,           0.0079253,           0.0019631,             0.96263,             0.95724,             0.98455,               0.635,            0.026803,           0.0037112,          0.00014321,               0.005,               0.005,               0.005
                  27,            0.034081,           0.0081255,           0.0044192,             0.96622,             0.93588,             0.97153,             0.60122,            0.028629,           0.0040388,          0.00047965,              0.0048,              0.0048,              0.0048
                  28,            0.033673,           0.0080497,           0.0011017,             0.98704,             0.97157,              0.9924,             0.62958,             0.02664,           0.0037819,          0.00014502,              0.0046,              0.0046,              0.0046
                  29,            0.033158,           0.0079015,          0.00093798,             0.95831,             0.94645,             0.96818,             0.59337,            0.028684,           0.0036985,           0.0001249,              0.0044,              0.0044,              0.0044
                  30,            0.031775,           0.0077327,          0.00099288,             0.97447,             0.95912,             0.98616,             0.66817,            0.025732,           0.0037649,          5.1553e-05,              0.0042,              0.0042,              0.0042
                  31,            0.031351,           0.0075635,          0.00093827,             0.97563,             0.97579,             0.99013,             0.67056,            0.024984,           0.0036269,          6.7741e-05,               0.004,               0.004,               0.004
                  32,            0.031658,           0.0075573,          0.00083211,             0.98256,             0.97683,              0.9934,             0.69151,            0.024185,            0.003709,          7.5532e-05,              0.0038,              0.0038,              0.0038
                  33,            0.031007,           0.0076283,           0.0007526,             0.98567,             0.98396,             0.99312,             0.65554,            0.024578,           0.0034376,          6.8743e-05,              0.0036,              0.0036,              0.0036
                  34,            0.030952,           0.0074509,           0.0007561,             0.95761,              0.9787,             0.98983,             0.66419,            0.025417,           0.0036072,          6.8587e-05,              0.0034,              0.0034,              0.0034
                  35,            0.030227,            0.007263,          0.00059038,             0.98304,             0.98209,             0.99322,             0.70663,            0.023116,           0.0034703,          8.7385e-05,              0.0032,              0.0032,              0.0032
                  36,            0.029999,           0.0072445,          0.00067732,             0.97918,             0.97988,             0.99322,             0.70447,            0.022699,           0.0032404,          6.3314e-05,               0.003,               0.003,               0.003
                  37,            0.029257,           0.0071079,           0.0006873,             0.99199,             0.98197,             0.99446,             0.70323,            0.022858,           0.0033031,          0.00014534,              0.0028,              0.0028,              0.0028
                  38,            0.029266,           0.0071305,          0.00076518,             0.99276,             0.97875,             0.99393,             0.71239,            0.022373,           0.0032744,           6.158e-05,              0.0026,              0.0026,              0.0026
                  39,            0.028756,           0.0070267,           0.0006903,             0.98358,             0.98597,             0.99373,             0.73182,            0.021415,           0.0032717,          6.8498e-05,              0.0024,              0.0024,              0.0024
                  40,            0.027936,           0.0069232,          0.00057242,             0.97064,             0.97495,             0.98732,             0.68931,            0.023279,           0.0033094,          4.3295e-05,              0.0022,              0.0022,              0.0022
                  41,            0.027975,           0.0068529,          0.00059242,             0.98635,             0.99025,             0.99387,             0.70414,             0.02295,           0.0032783,             4.8e-05,               0.002,               0.002,               0.002
