               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10023,            0.017898,            0.026798,           0.0053922,           0.0081241,          0.00070894,          0.00015476,             0.10667,            0.026614,            0.035496,            0.070126,           0.0033194,           0.0033194
                   1,            0.091762,            0.017826,              0.0234,             0.52244,           0.0051699,           0.0031526,          0.00086695,            0.087059,            0.010965,            0.021335,            0.039992,           0.0065197,           0.0065197
                   2,            0.080836,            0.018021,            0.020114,             0.40404,             0.13681,            0.033834,           0.0092844,             0.10142,            0.016045,            0.037275,           0.0097261,           0.0095866,           0.0095866
                   3,            0.067506,            0.015938,            0.012756,             0.29552,             0.25595,             0.19115,            0.069977,            0.080764,           0.0096456,            0.027274,              0.0094,              0.0094,              0.0094
                   4,            0.059936,            0.013178,            0.008642,             0.61148,             0.59877,             0.59975,             0.26254,            0.051145,           0.0079904,           0.0052975,              0.0094,              0.0094,              0.0094
                   5,            0.055027,            0.012059,           0.0063927,             0.66686,              0.7916,             0.73229,             0.32101,             0.04653,            0.006129,            0.002782,              0.0092,              0.0092,              0.0092
                   6,            0.050859,            0.011215,            0.005301,             0.73582,             0.82394,             0.81058,             0.36626,            0.042864,           0.0055998,           0.0027985,               0.009,               0.009,               0.009
                   7,            0.048321,            0.010467,           0.0043826,              0.8134,             0.75546,              0.8397,              0.4107,             0.04171,           0.0053652,           0.0019901,              0.0088,              0.0088,              0.0088
                   8,            0.045805,            0.010142,           0.0042601,             0.84706,              0.8478,             0.89387,             0.45084,            0.038193,           0.0049094,           0.0011365,              0.0086,              0.0086,              0.0086
                   9,            0.044412,           0.0098031,           0.0033897,             0.86812,             0.86661,             0.91956,             0.50685,            0.036231,           0.0047386,          0.00085751,              0.0084,              0.0084,              0.0084
                  10,            0.042613,           0.0094508,           0.0027985,             0.91794,             0.89099,             0.94124,             0.50312,            0.035468,           0.0045323,          0.00089359,              0.0082,              0.0082,              0.0082
                  11,            0.041321,           0.0093025,           0.0025375,             0.93416,             0.85801,             0.95709,             0.54746,            0.033038,           0.0045721,           0.0019011,               0.008,               0.008,               0.008
                  12,            0.039669,           0.0088324,           0.0022508,             0.92443,             0.93453,             0.96237,               0.546,            0.031527,            0.004254,          0.00046978,              0.0078,              0.0078,              0.0078
                  13,            0.039474,           0.0087602,           0.0020086,             0.95217,             0.91484,              0.9619,             0.55546,            0.031797,           0.0041713,           0.0012984,              0.0076,              0.0076,              0.0076
                  14,             0.03787,           0.0086964,           0.0016779,             0.93536,             0.89166,             0.94332,              0.5631,            0.031002,           0.0040496,          0.00074358,              0.0074,              0.0074,              0.0074
                  15,            0.037099,           0.0088394,           0.0018775,             0.94338,             0.92482,              0.9505,             0.56585,            0.030996,           0.0043193,          0.00053649,              0.0072,              0.0072,              0.0072
                  16,             0.03612,           0.0085538,           0.0016645,             0.97652,             0.95128,             0.97687,             0.60373,            0.028323,            0.003895,          0.00035078,               0.007,               0.007,               0.007
                  17,             0.03613,           0.0083567,           0.0018307,             0.97182,             0.95691,             0.98654,             0.59597,             0.02919,           0.0037905,          0.00041108,              0.0068,              0.0068,              0.0068
                  18,            0.034912,           0.0082088,           0.0013158,             0.96576,             0.95637,             0.97806,             0.61511,            0.028117,           0.0038157,          0.00059766,              0.0066,              0.0066,              0.0066
                  19,            0.034105,           0.0078868,           0.0014655,             0.98542,             0.96318,              0.9871,             0.63966,            0.026726,            0.003845,          0.00042516,              0.0064,              0.0064,              0.0064
                  20,            0.033341,           0.0079716,           0.0013464,             0.99123,             0.96469,             0.99004,             0.61765,            0.026507,            0.003768,          0.00043518,              0.0062,              0.0062,              0.0062
                  21,            0.032916,           0.0077771,            0.001292,             0.97816,             0.95468,             0.98111,             0.64739,            0.026509,           0.0036468,          0.00024986,               0.006,               0.006,               0.006
                  22,            0.032808,           0.0076876,           0.0011289,             0.97134,             0.94704,             0.98491,             0.62765,            0.027919,           0.0037614,          0.00032862,              0.0058,              0.0058,              0.0058
                  23,            0.031819,           0.0076589,           0.0011863,             0.97157,             0.96612,             0.98606,             0.65692,            0.024502,           0.0035621,           0.0002646,              0.0056,              0.0056,              0.0056
                  24,            0.032058,           0.0076838,           0.0013874,              0.9874,             0.97414,             0.99016,             0.66133,            0.024722,           0.0035936,          0.00024753,              0.0054,              0.0054,              0.0054
                  25,            0.031194,           0.0075898,          0.00096326,             0.98888,             0.98318,             0.99173,             0.68083,            0.023512,            0.003478,          0.00019005,              0.0052,              0.0052,              0.0052
                  26,            0.029902,           0.0073822,           0.0010752,             0.99117,             0.98061,             0.99323,             0.68943,            0.023602,           0.0033635,          0.00019932,               0.005,               0.005,               0.005
                  27,             0.03058,           0.0074943,           0.0010032,             0.98965,             0.98288,             0.99365,             0.68272,            0.023288,           0.0033981,          0.00018465,              0.0048,              0.0048,              0.0048
                  28,            0.030197,            0.007449,          0.00081763,             0.98104,             0.98783,             0.99305,              0.6748,             0.02334,           0.0033452,          0.00018188,              0.0046,              0.0046,              0.0046
                  29,            0.029306,           0.0073777,          0.00067487,             0.97408,             0.98561,             0.99144,             0.69885,            0.022299,           0.0032937,          0.00015467,              0.0044,              0.0044,              0.0044
                  30,            0.028838,           0.0072753,          0.00089682,             0.98912,             0.98357,             0.99183,             0.71218,            0.021667,           0.0033719,          0.00015865,              0.0042,              0.0042,              0.0042
                  31,            0.028405,           0.0070845,          0.00082151,             0.98777,              0.9835,             0.99251,             0.71095,            0.021971,           0.0032007,          0.00017724,               0.004,               0.004,               0.004
                  32,            0.028512,           0.0070637,           0.0006914,             0.98776,             0.98532,             0.99295,             0.72261,            0.021287,            0.003153,          0.00015057,              0.0038,              0.0038,              0.0038
                  33,            0.027804,           0.0070882,          0.00064157,             0.99421,             0.98505,             0.99477,             0.72242,            0.020681,           0.0032591,          0.00013804,              0.0036,              0.0036,              0.0036
                  34,            0.027395,           0.0069561,          0.00073369,             0.99507,             0.99322,             0.99478,             0.72968,             0.02064,            0.003155,          0.00014814,              0.0034,              0.0034,              0.0034
                  35,            0.026655,           0.0067433,          0.00059584,             0.99789,              0.9934,             0.99496,             0.74038,            0.019784,           0.0030176,          0.00010052,              0.0032,              0.0032,              0.0032
                  36,            0.026991,           0.0067589,          0.00056142,             0.99028,             0.99368,             0.99474,             0.74323,            0.019936,           0.0030257,          0.00010742,               0.003,               0.003,               0.003
                  37,            0.026291,           0.0066576,          0.00055843,             0.99679,              0.9952,             0.99485,             0.73977,            0.019858,           0.0029789,          0.00010887,              0.0028,              0.0028,              0.0028
                  38,            0.026275,           0.0066738,          0.00059556,             0.99749,             0.99483,             0.99495,             0.74707,            0.019446,           0.0030335,          9.6648e-05,              0.0026,              0.0026,              0.0026
                  39,            0.025935,           0.0066174,          0.00054549,             0.99597,             0.99669,             0.99498,             0.74502,            0.019513,           0.0029579,          9.9715e-05,              0.0024,              0.0024,              0.0024
                  40,            0.025116,           0.0064648,          0.00058552,             0.99583,             0.99705,             0.99498,              0.7478,            0.019078,            0.002938,          8.1933e-05,              0.0022,              0.0022,              0.0022
                  41,            0.025352,           0.0064233,          0.00045725,             0.99921,             0.99461,             0.99489,             0.75283,             0.01947,           0.0029385,          7.7766e-05,               0.002,               0.002,               0.002
                  42,             0.02495,           0.0064271,          0.00049293,             0.99846,             0.99527,             0.99499,             0.75674,            0.019039,           0.0029306,          8.3827e-05,              0.0018,              0.0018,              0.0018
                  43,            0.024602,             0.00642,          0.00045304,             0.99541,             0.99583,             0.99492,             0.76015,            0.018906,           0.0028876,          7.4157e-05,              0.0016,              0.0016,              0.0016
                  44,            0.024286,           0.0064234,          0.00036042,             0.99623,             0.99603,             0.99493,             0.76603,            0.018592,           0.0028967,          6.1724e-05,              0.0014,              0.0014,              0.0014
                  45,            0.023876,           0.0062343,          0.00040278,             0.99422,             0.99852,             0.99498,             0.77558,            0.017964,            0.002819,          5.4394e-05,              0.0012,              0.0012,              0.0012
                  46,            0.023608,           0.0062208,          0.00040934,             0.99667,             0.99657,             0.99498,             0.77654,            0.018137,           0.0028642,          5.1687e-05,               0.001,               0.001,               0.001
                  47,            0.023825,            0.006129,          0.00070038,             0.99695,             0.99852,             0.99499,             0.77647,            0.017692,           0.0027917,          4.7469e-05,          0.00080001,          0.00080001,          0.00080001
                  48,            0.023339,           0.0063361,           0.0003566,             0.99751,             0.99852,               0.995,             0.77816,            0.017754,            0.002766,          4.7896e-05,          0.00060001,          0.00060001,          0.00060001
                  49,             0.02308,           0.0061385,          0.00035553,             0.99912,             0.99631,               0.995,             0.77641,            0.017662,           0.0027786,          4.6657e-05,          0.00040001,          0.00040001,          0.00040001
