               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1019,            0.017905,            0.026998,           0.0007168,             0.23099,          0.00052108,          0.00014817,            0.090583,            0.011562,            0.026061,             0.07025,           0.0033056,           0.0033056
                   1,            0.091968,            0.018027,            0.023371,           0.0010717,             0.31026,           0.0025641,          0.00063148,            0.086214,            0.011085,            0.020796,            0.040237,           0.0066256,           0.0066256
                   2,            0.081569,            0.017756,            0.020821,             0.03411,             0.16034,            0.007633,           0.0020216,             0.11167,            0.043237,            0.064754,             0.01021,           0.0099323,           0.0099323
                   3,            0.067983,            0.015963,            0.013256,             0.23153,             0.27338,             0.15473,            0.050098,            0.075953,            0.012655,            0.013801,             0.00994,             0.00994,             0.00994
                   4,            0.060457,            0.013291,           0.0086834,             0.50847,             0.56542,             0.49093,             0.19647,             0.05858,           0.0080069,           0.0054166,             0.00994,             0.00994,             0.00994
                   5,            0.055662,             0.01223,           0.0062958,             0.58787,             0.60035,             0.63228,             0.26103,            0.046998,           0.0073304,           0.0088076,             0.00992,             0.00992,             0.00992
                   6,            0.051675,            0.011193,           0.0050461,             0.78583,             0.57613,             0.62358,             0.27158,            0.055258,           0.0075493,           0.0053516,              0.0099,              0.0099,              0.0099
                   7,            0.048444,            0.010466,           0.0043377,             0.62654,             0.65688,             0.62846,             0.27704,            0.052428,           0.0068589,           0.0099697,             0.00988,             0.00988,             0.00988
                   8,            0.046287,            0.010418,           0.0040559,             0.78839,             0.61758,             0.69957,             0.30457,            0.055217,           0.0069333,            0.013657,             0.00986,             0.00986,             0.00986
                   9,            0.044365,           0.0098501,           0.0032878,             0.91579,             0.83591,              0.9119,             0.45807,            0.038646,           0.0050292,           0.0020226,             0.00984,             0.00984,             0.00984
                  10,            0.043177,           0.0094158,            0.002686,             0.88736,              0.8213,              0.9098,             0.45336,            0.037343,           0.0048347,           0.0033374,             0.00982,             0.00982,             0.00982
                  11,            0.041856,            0.009198,           0.0021251,             0.91302,             0.89267,             0.93779,             0.50444,            0.034316,            0.004832,          0.00089613,              0.0098,              0.0098,              0.0098
                  12,            0.039951,           0.0089622,           0.0022695,              0.8812,             0.80855,             0.88304,             0.48767,            0.034918,            0.004819,           0.0040079,             0.00978,             0.00978,             0.00978
                  13,            0.039736,           0.0091393,           0.0023974,             0.92282,             0.90961,             0.95707,              0.5218,            0.033098,           0.0043432,          0.00069474,             0.00976,             0.00976,             0.00976
                  14,            0.039455,           0.0088355,           0.0021485,             0.96526,             0.92943,             0.97155,             0.56375,            0.031201,           0.0045249,          0.00044006,             0.00974,             0.00974,             0.00974
                  15,            0.038594,           0.0090936,            0.001743,             0.88682,             0.79375,              0.8605,             0.48504,            0.035876,           0.0057142,           0.0038933,             0.00972,             0.00972,             0.00972
                  16,            0.036947,           0.0086826,           0.0018052,             0.94537,             0.93355,             0.96726,             0.53874,            0.034019,            0.004379,          0.00065122,              0.0097,              0.0097,              0.0097
                  17,            0.037107,           0.0084333,             0.00185,             0.92777,             0.92582,             0.96439,             0.57093,            0.030861,           0.0039649,          0.00099075,             0.00968,             0.00968,             0.00968
                  18,            0.035866,           0.0082914,           0.0015391,             0.97411,             0.94638,             0.97819,             0.56945,            0.030024,           0.0039997,          0.00053994,             0.00966,             0.00966,             0.00966
                  19,            0.034883,           0.0080906,           0.0015087,              0.9686,             0.96515,             0.98663,             0.62062,            0.027428,           0.0040811,          0.00052093,             0.00964,             0.00964,             0.00964
                  20,            0.034775,           0.0080947,           0.0015486,             0.96487,             0.96573,             0.98727,             0.62064,            0.027535,           0.0037758,          0.00080529,             0.00962,             0.00962,             0.00962
                  21,            0.034659,           0.0081007,           0.0015625,             0.95006,             0.94547,             0.97407,             0.57672,            0.028584,           0.0042797,           0.0010681,              0.0096,              0.0096,              0.0096
                  22,            0.034112,           0.0078984,           0.0013927,             0.95783,             0.96748,             0.97915,             0.61672,             0.02746,           0.0038653,          0.00034867,             0.00958,             0.00958,             0.00958
                  23,            0.033748,           0.0078707,           0.0011072,             0.97858,             0.97661,              0.9872,               0.631,            0.026154,           0.0036664,          0.00054553,             0.00956,             0.00956,             0.00956
                  24,            0.033133,           0.0077358,            0.001075,             0.97517,             0.96865,             0.98847,             0.66614,            0.025156,           0.0036643,           0.0003006,             0.00954,             0.00954,             0.00954
                  25,            0.032606,           0.0076427,           0.0013305,             0.97773,             0.96129,             0.98044,             0.62566,            0.026522,            0.003647,          0.00044582,             0.00952,             0.00952,             0.00952
                  26,             0.03202,           0.0076725,           0.0011189,             0.97764,             0.97371,             0.99256,             0.64007,            0.025528,           0.0036247,          0.00027499,              0.0095,              0.0095,              0.0095
                  27,            0.032977,           0.0076903,           0.0011277,             0.98039,              0.9688,             0.99331,             0.64784,            0.024782,            0.003552,          0.00029816,             0.00948,             0.00948,             0.00948
                  28,            0.032585,           0.0077351,          0.00099685,             0.97914,             0.97318,             0.98573,             0.66889,            0.024391,           0.0034242,          0.00031737,             0.00946,             0.00946,             0.00946
                  29,            0.031753,           0.0074887,           0.0011574,             0.97785,             0.98026,             0.99016,             0.66026,            0.024351,           0.0033385,          0.00025645,             0.00944,             0.00944,             0.00944
                  30,            0.031751,           0.0075684,           0.0012168,             0.97312,             0.97649,             0.99179,             0.68577,            0.023941,           0.0033986,          0.00026072,             0.00942,             0.00942,             0.00942
                  31,            0.030677,           0.0072353,          0.00091482,             0.99159,             0.98264,             0.99448,             0.67883,             0.02344,           0.0033533,          0.00026904,              0.0094,              0.0094,              0.0094
                  32,             0.03093,           0.0074183,          0.00075124,             0.97505,             0.97728,                0.99,                0.68,            0.023508,           0.0033857,           0.0002465,             0.00938,             0.00938,             0.00938
                  33,            0.030292,           0.0072333,          0.00090077,             0.98323,             0.97933,             0.98928,              0.6564,            0.023721,           0.0033058,          0.00025342,             0.00936,             0.00936,             0.00936
                  34,            0.029981,           0.0071712,           0.0010568,             0.97695,             0.98361,             0.99368,             0.67807,            0.022933,           0.0033006,          0.00027269,             0.00934,             0.00934,             0.00934
                  35,            0.030428,           0.0074925,          0.00098638,             0.99075,             0.97845,             0.99276,              0.6859,            0.023365,           0.0034652,           0.0003452,             0.00932,             0.00932,             0.00932
                  36,            0.030286,           0.0071376,           0.0008531,                0.99,             0.99035,              0.9944,             0.70027,            0.022632,           0.0032699,          0.00025527,              0.0093,              0.0093,              0.0093
                  37,            0.029362,           0.0071434,          0.00072483,             0.98307,             0.97166,             0.99279,             0.68944,            0.022325,           0.0032985,          0.00020162,             0.00928,             0.00928,             0.00928
                  38,            0.029276,           0.0070401,          0.00094581,             0.96743,             0.98439,             0.99158,             0.70994,            0.021879,           0.0032685,          0.00028066,             0.00926,             0.00926,             0.00926
                  39,            0.029033,           0.0069328,          0.00077795,             0.99403,             0.99474,             0.99453,             0.70289,            0.021479,           0.0031833,          0.00022935,             0.00924,             0.00924,             0.00924
                  40,            0.029098,           0.0068998,          0.00071555,             0.97609,             0.94536,             0.97647,             0.67967,            0.023749,           0.0033309,           0.0028049,             0.00922,             0.00922,             0.00922
                  41,            0.029041,           0.0068219,          0.00093332,             0.98789,             0.99243,             0.99483,             0.71863,            0.021469,            0.003173,          0.00021969,              0.0092,              0.0092,              0.0092
                  42,             0.02873,           0.0069018,          0.00084478,             0.98357,             0.98261,             0.99379,             0.71701,            0.021662,           0.0032236,           0.0010957,             0.00918,             0.00918,             0.00918
                  43,            0.028268,           0.0068636,          0.00092979,             0.99722,             0.99031,             0.99484,             0.70528,            0.022195,           0.0031027,          0.00020792,             0.00916,             0.00916,             0.00916
                  44,             0.02924,           0.0069501,          0.00084361,             0.99148,             0.98708,             0.99402,             0.68511,            0.022863,           0.0032507,          0.00026253,             0.00914,             0.00914,             0.00914
                  45,            0.028269,           0.0067473,          0.00078615,             0.99535,             0.97998,             0.99436,             0.71949,            0.021291,           0.0031414,          0.00030362,             0.00912,             0.00912,             0.00912
                  46,            0.027882,           0.0067208,          0.00096969,              0.9948,             0.98892,             0.99481,             0.72104,            0.021279,           0.0030875,          0.00022569,              0.0091,              0.0091,              0.0091
                  47,            0.028591,           0.0067081,            0.001703,             0.99659,             0.99323,             0.99352,             0.70435,            0.021365,            0.003069,          0.00022046,             0.00908,             0.00908,             0.00908
                  48,             0.02866,           0.0068992,          0.00071385,             0.99424,             0.98864,             0.99471,               0.731,            0.020545,           0.0030969,          0.00022239,             0.00906,             0.00906,             0.00906
                  49,            0.027732,           0.0067744,          0.00086033,             0.99359,             0.99683,              0.9946,              0.7314,            0.020501,           0.0030632,          0.00024349,             0.00904,             0.00904,             0.00904
                  50,            0.028181,           0.0067397,          0.00081306,             0.99661,             0.99369,             0.99492,             0.72011,            0.020959,           0.0031033,          0.00025697,             0.00902,             0.00902,             0.00902
                  51,            0.026877,           0.0064505,          0.00065852,             0.99711,             0.99188,             0.99488,             0.74991,            0.019782,            0.002954,          0.00024755,               0.009,               0.009,               0.009
                  52,             0.02777,           0.0067877,          0.00082216,              0.9939,             0.99203,             0.99472,             0.74609,            0.020288,           0.0030118,          0.00020428,             0.00898,             0.00898,             0.00898
                  53,            0.027731,            0.006692,          0.00079036,             0.99472,             0.98223,             0.99453,             0.73652,            0.020429,           0.0032036,          0.00021435,             0.00896,             0.00896,             0.00896
                  54,            0.027304,           0.0066905,          0.00090373,             0.99213,             0.99499,              0.9948,             0.74763,            0.019613,           0.0029737,          0.00026476,             0.00894,             0.00894,             0.00894
                  55,            0.027046,           0.0065853,          0.00074111,             0.99261,             0.98997,             0.99489,             0.73856,            0.020035,           0.0030069,          0.00018746,             0.00892,             0.00892,             0.00892
                  56,            0.026846,           0.0064858,          0.00069328,             0.99751,             0.99676,             0.99497,             0.76603,            0.018857,           0.0028752,          0.00021507,              0.0089,              0.0089,              0.0089
                  57,            0.027188,           0.0066133,          0.00063933,             0.99517,             0.99301,             0.99484,             0.74131,             0.01995,           0.0029606,          0.00022006,             0.00888,             0.00888,             0.00888
                  58,            0.026524,           0.0066938,          0.00053335,             0.99661,             0.99439,             0.99489,             0.75261,            0.019373,           0.0028823,          0.00018468,             0.00886,             0.00886,             0.00886
                  59,            0.026691,           0.0065636,          0.00099232,              0.9932,              0.9925,             0.99484,             0.74868,            0.019859,            0.002934,          0.00026711,             0.00884,             0.00884,             0.00884
                  60,            0.027202,           0.0063507,          0.00078767,             0.99637,             0.99599,             0.99496,             0.75149,            0.019441,            0.002935,          0.00020237,             0.00882,             0.00882,             0.00882
