               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10037,            0.017912,            0.026764,              0.0199,           0.0059084,           0.0010226,          0.00025802,             0.10877,            0.063878,            0.051582,            0.070126,           0.0033194,           0.0033194
                   1,            0.091886,            0.017883,            0.023255,           0.0014704,             0.43192,           0.0064002,           0.0014088,            0.082686,            0.011626,            0.021859,            0.039994,            0.006521,            0.006521
                   2,            0.079854,            0.017826,            0.020006,             0.24272,             0.19246,             0.15882,            0.046783,            0.066408,            0.012266,            0.017251,           0.0097301,           0.0095906,           0.0095906
                   3,            0.067009,            0.015505,             0.01245,             0.36503,             0.54352,             0.41447,             0.16237,            0.058267,           0.0084758,            0.011083,            0.009406,            0.009406,            0.009406
                   4,            0.060766,            0.013114,           0.0086965,             0.56478,             0.55135,             0.55956,             0.22768,             0.05161,            0.007757,           0.0064671,            0.009406,            0.009406,            0.009406
                   5,            0.055553,            0.012223,           0.0064891,             0.71467,             0.78076,             0.78656,             0.35486,            0.043534,           0.0064191,           0.0026089,            0.009208,            0.009208,            0.009208
                   6,            0.052076,            0.011345,           0.0056435,             0.73465,              0.7631,             0.77147,             0.33795,            0.046845,            0.005928,           0.0032927,             0.00901,             0.00901,             0.00901
                   7,            0.050156,            0.010771,           0.0050472,             0.81982,             0.76054,             0.84507,             0.35955,            0.044308,           0.0055962,           0.0018404,            0.008812,            0.008812,            0.008812
                   8,            0.048226,            0.010587,           0.0047652,              0.8809,             0.84165,             0.88889,             0.42293,            0.039855,           0.0052253,           0.0018182,            0.008614,            0.008614,            0.008614
                   9,            0.047374,            0.010222,           0.0036612,             0.72338,             0.50529,             0.56148,             0.23205,            0.057529,           0.0082047,           0.0073512,            0.008416,            0.008416,            0.008416
                  10,            0.046099,           0.0099557,           0.0035209,              0.8779,             0.86429,             0.89001,             0.44548,             0.03867,           0.0047827,           0.0013142,            0.008218,            0.008218,            0.008218
                  11,            0.044706,           0.0098756,           0.0033934,             0.88328,             0.87357,             0.91931,             0.48701,            0.036798,           0.0047059,          0.00086814,             0.00802,             0.00802,             0.00802
                  12,            0.043598,           0.0095118,           0.0029517,             0.90669,             0.87202,             0.93775,              0.4921,            0.034815,           0.0047793,           0.0010658,            0.007822,            0.007822,            0.007822
                  13,            0.043199,           0.0094038,           0.0027341,              0.8895,             0.82434,              0.8932,             0.51023,            0.036259,           0.0050175,           0.0010016,            0.007624,            0.007624,            0.007624
                  14,             0.04244,           0.0094591,           0.0024308,             0.88066,             0.84856,             0.87583,             0.46112,            0.036401,           0.0046737,           0.0015182,            0.007426,            0.007426,            0.007426
                  15,            0.041845,           0.0095209,           0.0024947,             0.92468,             0.90036,             0.93727,             0.48308,            0.035238,           0.0047422,          0.00094321,            0.007228,            0.007228,            0.007228
                  16,            0.040749,           0.0092726,           0.0021411,             0.95639,             0.93687,             0.96532,              0.5547,            0.031206,           0.0044578,          0.00065933,             0.00703,             0.00703,             0.00703
                  17,            0.041439,           0.0092582,           0.0026078,             0.92416,             0.90514,             0.94985,             0.51554,            0.033844,           0.0044272,          0.00090997,            0.006832,            0.006832,            0.006832
                  18,            0.040015,           0.0091137,           0.0021061,             0.82236,             0.64928,             0.76148,             0.39002,            0.045015,           0.0062337,           0.0042781,            0.006634,            0.006634,            0.006634
                  19,            0.039804,           0.0088317,           0.0023856,             0.93553,             0.91254,              0.9571,              0.5537,            0.032199,           0.0043463,           0.0018199,            0.006436,            0.006436,            0.006436
                  20,            0.038885,           0.0088736,           0.0020503,             0.94179,             0.93035,             0.96597,             0.57031,            0.029901,           0.0041527,          0.00096264,            0.006238,            0.006238,            0.006238
                  21,            0.038687,           0.0086545,           0.0017801,             0.95029,             0.94869,              0.9796,             0.57091,            0.030469,           0.0040763,          0.00099488,             0.00604,             0.00604,             0.00604
                  22,            0.038432,           0.0085725,           0.0021167,             0.93382,             0.85512,             0.93726,             0.51915,            0.033321,           0.0050714,           0.0022209,            0.005842,            0.005842,            0.005842
                  23,            0.037506,           0.0086425,           0.0022895,             0.94799,             0.94896,             0.97913,             0.60531,            0.029198,           0.0040874,          0.00061164,            0.005644,            0.005644,            0.005644
                  24,            0.037298,           0.0085333,           0.0021397,             0.95838,             0.93766,             0.96536,              0.5647,            0.029839,           0.0039775,           0.0005742,            0.005446,            0.005446,            0.005446
                  25,            0.036479,           0.0084267,           0.0017481,             0.97537,             0.93456,             0.97984,             0.58448,            0.029083,           0.0041245,          0.00040146,            0.005248,            0.005248,            0.005248
                  26,            0.035676,           0.0083426,           0.0022958,             0.94725,             0.93929,             0.97954,             0.59602,            0.028664,           0.0038552,          0.00040919,             0.00505,             0.00505,             0.00505
