                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4008,                 1.7453,                 1.2393,                0.87037,                0.75354,                0.86321,                0.52445,                 1.2315,                0.82827,                  1.089,              0.0033194,              0.0033194,              0.0033194
                      2,                 1.2821,                 1.0211,                 1.1632,                0.70413,                0.83945,                0.87908,                  0.539,                  1.216,                0.91132,                 1.1086,              0.0066395,              0.0066395,              0.0066395
                      3,                 1.3184,                  1.028,                 1.1894,                0.79561,                0.80934,                 0.8694,                0.52809,                 1.2494,                0.94149,                 1.1649,              0.0099465,              0.0099465,              0.0099465
                      4,                 1.3983,                 1.0775,                 1.2451,                0.82329,                 0.8083,                0.87658,                0.54091,                 1.2399,                 0.8643,                 1.1421,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.3632,                 1.0098,                 1.2251,                0.82595,                0.85851,                0.91919,                0.57105,                  1.275,                0.87333,                 1.1942,              0.0099406,              0.0099406,              0.0099406
                      6,                  1.334,                0.95548,                 1.2409,                0.92791,                0.94512,                0.97237,                0.63263,                 1.1607,                0.73539,                  1.168,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.2994,                0.89913,                  1.216,                0.88903,                0.90799,                0.96189,                0.62799,                 1.1784,                0.72177,                 1.1475,               0.009901,               0.009901,               0.009901
                      8,                 1.2839,                0.86893,                 1.2025,                0.95674,                0.94922,                0.98508,                0.66347,                 1.1225,                0.67958,                 1.0949,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2407,                0.84591,                  1.173,                0.94577,                0.93183,                0.98301,                0.69458,                 1.0673,                0.63332,                 1.0969,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2173,                0.81655,                 1.1784,                 0.9109,                0.93084,                0.97558,                0.68539,                  1.048,                0.64437,                 1.0864,              0.0098416,              0.0098416,              0.0098416
