               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10023,            0.017898,            0.026798,           0.0053922,           0.0081241,          0.00070894,          0.00015476,             0.10667,            0.026614,            0.035496,            0.070126,           0.0033194,           0.0033194
                   1,            0.091396,            0.017852,            0.023131,             0.50421,           0.0059084,            0.001188,          0.00029976,            0.092714,             0.01181,            0.029768,            0.040082,           0.0066088,           0.0066088
                   2,            0.080205,            0.017649,            0.019413,             0.23301,            0.061645,            0.025705,           0.0051283,             0.10258,            0.016645,            0.039971,           0.0099937,           0.0098542,           0.0098542
                   3,            0.067334,            0.015423,            0.012616,             0.44669,             0.57142,             0.47142,             0.17874,            0.059457,           0.0093513,           0.0051429,            0.009802,            0.009802,            0.009802
                   4,            0.059697,            0.012943,           0.0081234,             0.29689,             0.35489,             0.17221,            0.084078,            0.063711,            0.016021,            0.010394,            0.009802,            0.009802,            0.009802
                   5,            0.054473,            0.011972,           0.0057551,             0.72599,             0.75947,             0.80652,               0.345,            0.045973,           0.0058655,            0.003802,            0.009736,            0.009736,            0.009736
                   6,            0.050583,            0.011119,           0.0048448,             0.66559,             0.81892,             0.78151,             0.33568,            0.045952,           0.0057341,           0.0018232,             0.00967,             0.00967,             0.00967
                   7,            0.048631,            0.010551,            0.004415,             0.86662,             0.85115,             0.90102,             0.46144,            0.038183,           0.0051031,          0.00097168,            0.009604,            0.009604,            0.009604
                   8,            0.045539,            0.010109,           0.0035575,              0.9027,             0.88905,             0.92203,             0.48038,            0.036178,            0.004741,           0.0019332,            0.009538,            0.009538,            0.009538
                   9,            0.044083,             0.00977,           0.0029967,              0.9195,             0.83507,              0.9267,             0.48538,            0.036241,           0.0047824,           0.0010476,            0.009472,            0.009472,            0.009472
                  10,            0.042671,           0.0094581,           0.0026765,             0.88032,             0.89152,             0.90671,             0.49607,             0.03554,           0.0046174,          0.00073306,            0.009406,            0.009406,            0.009406
                  11,            0.041819,           0.0094365,           0.0023954,             0.94113,             0.93604,             0.97053,             0.53944,            0.032509,           0.0044374,          0.00042594,             0.00934,             0.00934,             0.00934
                  12,            0.040013,           0.0089152,           0.0020955,             0.95108,             0.92441,             0.95505,             0.53105,            0.031998,           0.0043125,          0.00067894,            0.009274,            0.009274,            0.009274
                  13,            0.039589,           0.0088739,           0.0021399,             0.90675,             0.89674,             0.94892,             0.51859,            0.033747,           0.0044589,          0.00057034,            0.009208,            0.009208,            0.009208
                  14,            0.038902,            0.008798,           0.0018892,             0.96761,              0.9325,             0.97281,             0.57954,             0.03027,            0.004189,          0.00068736,            0.009142,            0.009142,            0.009142
                  15,              0.0378,           0.0087882,           0.0016569,             0.95821,             0.94325,             0.97569,               0.568,            0.030404,           0.0042391,          0.00037329,            0.009076,            0.009076,            0.009076
                  16,            0.036603,           0.0085891,           0.0016054,              0.9681,             0.95959,             0.98512,             0.59037,            0.028372,           0.0040333,          0.00056038,             0.00901,             0.00901,             0.00901
                  17,            0.036728,           0.0084396,           0.0018542,              0.9551,             0.92971,             0.97195,             0.57988,            0.030607,           0.0039672,          0.00054612,            0.008944,            0.008944,            0.008944
                  18,            0.036142,           0.0083018,           0.0013589,             0.93427,             0.91779,             0.96625,             0.60893,            0.028881,           0.0039825,           0.0012059,            0.008878,            0.008878,            0.008878
                  19,            0.034985,           0.0079632,           0.0017546,             0.97708,             0.96797,             0.98786,              0.6094,            0.027319,           0.0038523,          0.00046184,            0.008812,            0.008812,            0.008812
                  20,            0.033648,           0.0079964,           0.0011692,             0.97681,             0.95849,              0.9853,             0.63404,            0.026673,           0.0037187,          0.00031643,            0.008746,            0.008746,            0.008746
                  21,            0.033811,           0.0079137,           0.0013496,             0.98451,              0.9792,             0.99089,             0.63211,             0.02627,           0.0036722,          0.00026195,             0.00868,             0.00868,             0.00868
                  22,            0.033907,           0.0078137,           0.0013408,             0.99132,             0.98184,              0.9938,             0.66419,            0.025097,           0.0036535,          0.00028201,            0.008614,            0.008614,            0.008614
                  23,            0.032694,           0.0077231,           0.0012274,             0.98698,              0.9711,             0.99205,             0.66507,            0.024739,           0.0037361,          0.00026184,            0.008548,            0.008548,            0.008548
                  24,            0.032966,           0.0077599,           0.0014734,              0.9744,             0.95316,              0.9833,             0.64195,             0.02632,           0.0036089,          0.00034659,            0.008482,            0.008482,            0.008482
                  25,             0.03262,           0.0077968,           0.0012482,              0.9922,             0.98044,             0.99309,             0.65593,            0.025234,           0.0035535,          0.00023717,            0.008416,            0.008416,            0.008416
                  26,             0.03143,           0.0075523,           0.0010494,             0.99071,             0.98348,              0.9926,               0.656,            0.024429,           0.0035431,          0.00028215,             0.00835,             0.00835,             0.00835
