               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10219,            0.017824,            0.027002,          0.00082579,              0.2643,          0.00060426,          0.00016404,            0.090668,            0.011556,            0.026054,             0.07025,           0.0033056,           0.0033056
                   1,             0.09222,            0.017992,            0.023437,           0.0012512,               0.356,           0.0022447,          0.00057175,            0.087929,            0.010961,             0.02147,            0.040119,           0.0065074,           0.0065074
                   2,             0.08125,            0.017746,            0.020998,             0.18912,             0.24451,             0.10697,            0.027432,            0.070626,            0.011554,             0.01698,           0.0098551,           0.0095773,           0.0095773
                   3,            0.067777,            0.016317,            0.013979,             0.27048,             0.18777,             0.11064,             0.03605,            0.070855,            0.012709,            0.033443,            0.009406,            0.009406,            0.009406
                   4,            0.060629,            0.013741,            0.008573,             0.55312,             0.46848,             0.52871,             0.20535,            0.053191,           0.0087805,           0.0095308,            0.009406,            0.009406,            0.009406
                   5,            0.055586,             0.01231,           0.0063843,             0.51709,              0.4819,             0.43769,             0.17357,            0.058587,           0.0087087,           0.0094295,            0.009208,            0.009208,            0.009208
                   6,            0.051572,            0.011303,           0.0048256,             0.72342,             0.73954,             0.71912,             0.28969,            0.048174,           0.0060091,           0.0018485,             0.00901,             0.00901,             0.00901
                   7,            0.047378,            0.010419,           0.0040593,             0.68389,             0.84052,             0.87401,             0.41762,             0.04247,           0.0055883,           0.0010574,            0.008812,            0.008812,            0.008812
                   8,            0.046231,            0.010252,           0.0042036,             0.76168,             0.75994,             0.81986,              0.3993,            0.042183,           0.0059553,           0.0017592,            0.008614,            0.008614,            0.008614
                   9,            0.044147,           0.0097233,           0.0035345,             0.77161,             0.78655,             0.83536,             0.41457,            0.039929,            0.005633,            0.003784,            0.008416,            0.008416,            0.008416
                  10,            0.042669,           0.0093963,           0.0026844,             0.90665,             0.88264,             0.93496,             0.48622,            0.036796,           0.0048817,          0.00094458,            0.008218,            0.008218,            0.008218
                  11,            0.041761,           0.0091187,           0.0024276,             0.93653,             0.91402,             0.95787,              0.5483,            0.032333,           0.0043892,          0.00055042,             0.00802,             0.00802,             0.00802
                  12,            0.039088,           0.0088304,           0.0021547,             0.93295,              0.9158,             0.96657,             0.54961,            0.032295,           0.0043657,            0.000693,            0.007822,            0.007822,            0.007822
                  13,            0.038837,           0.0090401,           0.0019659,             0.93825,             0.92689,             0.96763,             0.54762,            0.033542,           0.0042467,          0.00050699,            0.007624,            0.007624,            0.007624
                  14,            0.037901,           0.0086127,           0.0018177,                0.94,             0.94577,               0.961,             0.52978,            0.031131,           0.0042741,           0.0003067,            0.007426,            0.007426,            0.007426
                  15,            0.037073,           0.0088778,           0.0017056,             0.95379,             0.94411,              0.9787,              0.5886,            0.030125,           0.0039864,          0.00053056,            0.007228,            0.007228,            0.007228
                  16,            0.035772,           0.0086216,           0.0018474,             0.95003,             0.90046,             0.94771,             0.57127,            0.030835,           0.0040141,          0.00078536,             0.00703,             0.00703,             0.00703
                  17,            0.035336,           0.0083096,           0.0014727,             0.97372,             0.94436,             0.97654,             0.60252,            0.029137,           0.0041736,          0.00064314,            0.006832,            0.006832,            0.006832
                  18,            0.034087,           0.0080077,            0.001147,             0.98519,             0.97229,             0.99138,             0.64812,            0.026592,           0.0037735,          0.00021055,            0.006634,            0.006634,            0.006634
                  19,            0.033711,           0.0078745,           0.0013387,             0.95638,             0.95592,             0.97794,             0.63667,            0.026616,           0.0038386,           0.0003909,            0.006436,            0.006436,            0.006436
                  20,            0.033083,           0.0079213,           0.0012625,             0.97223,             0.96865,             0.98954,             0.62009,            0.026728,            0.003776,          0.00026818,            0.006238,            0.006238,            0.006238
                  21,            0.032948,           0.0078985,           0.0011344,             0.96929,             0.93904,             0.97233,             0.60814,            0.027248,           0.0037885,          0.00024521,             0.00604,             0.00604,             0.00604
                  22,            0.032169,           0.0076453,           0.0010168,             0.97691,             0.98283,             0.99153,             0.64912,            0.025648,            0.003669,          0.00026853,            0.005842,            0.005842,            0.005842
                  23,            0.031354,           0.0076094,           0.0010774,             0.96495,             0.95477,             0.98565,              0.6443,            0.026743,             0.00377,           0.0018334,            0.005644,            0.005644,            0.005644
                  24,            0.031215,           0.0075212,           0.0011751,             0.98556,             0.98265,             0.99181,             0.68862,            0.023744,           0.0034321,          0.00026951,            0.005446,            0.005446,            0.005446
                  25,            0.030447,           0.0073671,          0.00077208,               0.984,             0.98496,             0.99347,             0.68996,            0.023184,           0.0033778,          0.00033733,            0.005248,            0.005248,            0.005248
                  26,            0.029808,           0.0074174,           0.0012832,             0.98487,             0.98321,             0.99075,             0.67978,            0.023205,           0.0034207,          0.00020328,             0.00505,             0.00505,             0.00505
                  27,            0.030088,           0.0073973,          0.00092112,             0.99115,               0.985,             0.99456,             0.67838,            0.023289,           0.0034106,          0.00017202,            0.004852,            0.004852,            0.004852
