               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10422,            0.017675,            0.027423,          0.00029299,             0.13516,          0.00020341,          4.8224e-05,            0.094088,            0.011105,            0.026511,              0.0705,           0.0032778,           0.0032778
                   1,            0.094833,            0.018007,            0.024868,           0.0048206,            0.012555,           0.0011575,          0.00027978,            0.092782,            0.010925,            0.022172,            0.040369,           0.0064802,           0.0064802
                   2,            0.082989,            0.017911,            0.020712,             0.52372,            0.023634,            0.006283,          0.00095014,             0.12299,            0.086047,             0.11822,            0.010106,           0.0095506,           0.0095506
                   3,            0.066365,            0.015648,            0.016193,            0.033429,            0.091532,            0.013567,           0.0031238,             0.11795,            0.014947,            0.092765,            0.009406,            0.009406,            0.009406
                   4,            0.059239,            0.013112,            0.010879,             0.66949,            0.031348,            0.033458,           0.0090354,             0.10949,            0.075415,            0.028969,            0.009406,            0.009406,            0.009406
                   5,            0.056448,             0.01251,           0.0084669,             0.56243,             0.53071,             0.44428,             0.17104,            0.057213,           0.0080818,            0.017291,            0.009208,            0.009208,            0.009208
                   6,            0.054289,            0.011675,           0.0070392,             0.49554,             0.13439,             0.12957,            0.046565,            0.085183,            0.010281,            0.025502,             0.00901,             0.00901,             0.00901
                   7,            0.053667,            0.011559,            0.007025,             0.35475,             0.37067,             0.30308,             0.10668,             0.06867,           0.0086387,           0.0089606,            0.008812,            0.008812,            0.008812
                   8,            0.052936,            0.011275,           0.0062661,          0.00064761,            0.090842,          0.00052016,          0.00013721,             0.10266,            0.008805,            0.041259,            0.008614,            0.008614,            0.008614
                   9,            0.053887,            0.011287,           0.0057628,             0.56781,            0.067947,             0.14565,            0.054017,            0.074935,            0.010772,            0.028611,            0.008416,            0.008416,            0.008416
                  10,            0.052199,            0.011001,           0.0055434,             0.45831,             0.33398,             0.29517,            0.094514,            0.068414,           0.0081417,           0.0091966,            0.008218,            0.008218,            0.008218
                  11,            0.051407,            0.011098,           0.0047862,             0.42598,             0.41859,             0.36667,             0.14391,            0.060039,           0.0095717,            0.019287,             0.00802,             0.00802,             0.00802
                  12,            0.050826,            0.010863,           0.0051389,             0.45968,             0.46888,              0.4213,             0.15668,            0.061568,           0.0081006,            0.011118,            0.007822,            0.007822,            0.007822
                  13,            0.050906,             0.01117,           0.0055004,             0.46273,             0.46148,              0.3594,             0.13114,            0.059685,            0.008052,           0.0061463,            0.007624,            0.007624,            0.007624
                  14,            0.050962,            0.011006,            0.004965,            0.040752,            0.006647,           0.0049009,           0.0017356,              0.0929,            0.011011,            0.022201,            0.007426,            0.007426,            0.007426
                  15,            0.051513,            0.011342,           0.0053443,              0.6391,             0.45347,             0.50405,             0.21371,            0.057363,           0.0083988,            0.015965,            0.007228,            0.007228,            0.007228
                  16,            0.049951,            0.010943,           0.0046916,             0.64245,             0.45914,             0.50232,             0.20048,            0.058148,           0.0097962,            0.010645,             0.00703,             0.00703,             0.00703
                  17,            0.049813,            0.010818,           0.0048593,             0.75576,             0.65431,             0.73624,             0.30821,            0.049307,           0.0056714,           0.0033783,            0.006832,            0.006832,            0.006832
                  18,            0.049678,            0.010667,           0.0046861,             0.75037,             0.65595,             0.71347,             0.28314,            0.048681,           0.0071016,           0.0061247,            0.006634,            0.006634,            0.006634
                  19,            0.048945,            0.010478,           0.0048543,             0.47654,             0.41185,             0.38666,             0.15847,            0.067717,           0.0082417,            0.016777,            0.006436,            0.006436,            0.006436
                  20,            0.048684,            0.010571,           0.0044762,             0.57995,             0.41388,             0.46687,             0.19677,            0.055874,           0.0082862,            0.019504,            0.006238,            0.006238,            0.006238
                  21,            0.049286,             0.01061,           0.0047192,             0.59588,             0.51668,             0.49924,              0.1998,            0.062605,           0.0074418,            0.037457,             0.00604,             0.00604,             0.00604
                  22,            0.048341,            0.010412,           0.0045737,             0.71686,             0.64302,              0.7162,             0.31173,            0.047046,           0.0064884,           0.0036366,            0.005842,            0.005842,            0.005842
                  23,            0.047715,            0.010448,           0.0041355,             0.74057,             0.72435,             0.78221,             0.35579,            0.045978,           0.0065411,           0.0040304,            0.005644,            0.005644,            0.005644
                  24,            0.047817,            0.010352,           0.0037956,             0.66962,             0.72191,             0.72846,             0.33752,            0.045138,           0.0060965,           0.0022095,            0.005446,            0.005446,            0.005446
                  25,            0.046934,            0.010194,           0.0043756,             0.48364,             0.50734,             0.44071,             0.19062,            0.061733,           0.0085178,           0.0073443,            0.005248,            0.005248,            0.005248
                  26,             0.04597,             0.01034,           0.0038176,             0.28403,             0.21346,             0.15347,            0.051805,            0.077522,            0.010843,            0.023426,             0.00505,             0.00505,             0.00505
                  27,            0.046523,            0.010256,           0.0038716,             0.75589,             0.63681,             0.71389,             0.30478,            0.050934,           0.0068477,           0.0078411,            0.004852,            0.004852,            0.004852
                  28,             0.04666,            0.010497,           0.0034076,             0.76674,             0.74873,             0.78786,             0.38614,            0.041371,           0.0066431,           0.0030105,            0.004654,            0.004654,            0.004654
                  29,            0.046188,            0.010286,           0.0034847,             0.35614,             0.29292,             0.22515,            0.084606,            0.070878,           0.0097324,            0.028407,            0.004456,            0.004456,            0.004456
                  30,            0.045667,            0.010251,           0.0033414,              0.7204,             0.62176,             0.70163,               0.328,            0.044656,           0.0072767,            0.005173,            0.004258,            0.004258,            0.004258
                  31,             0.04462,           0.0099819,           0.0032367,             0.65332,             0.53906,             0.59712,             0.28814,            0.048326,           0.0082775,           0.0087705,             0.00406,             0.00406,             0.00406
                  32,            0.044783,           0.0099512,           0.0031811,             0.83464,             0.70052,             0.78654,             0.37347,            0.045043,           0.0071941,            0.002349,            0.003862,            0.003862,            0.003862
                  33,            0.044138,           0.0098676,           0.0031611,             0.63185,             0.73492,             0.64442,             0.29664,            0.043527,           0.0062917,           0.0017926,            0.003664,            0.003664,            0.003664
                  34,            0.044156,           0.0099781,           0.0029857,             0.59349,             0.49487,             0.52184,             0.22853,            0.049459,           0.0081658,            0.014341,            0.003466,            0.003466,            0.003466
                  35,            0.044163,           0.0099282,           0.0033109,             0.81852,             0.80193,             0.85212,             0.38781,            0.043142,           0.0055307,           0.0010602,            0.003268,            0.003268,            0.003268
